sense_uid,lemma,pos,quiz_prompt_zh,gloss_zh,ipa_us,ipa_uk,example_en,example_zh
en:grade:noun:1,grade,noun,年级；等级；成绩；级别；阶段,n 年级；等级；成绩；级别；阶段；v 评分；把…分等级,/ɡred/,/greɪd/,The best grades of tea are expensive.,最上等的茶叶价格很贵。
en:grammar:noun:1,grammar,noun,语法；语法书,n 语法；语法书,/'græmɚ/,/'græmə/,Check your spelling and grammar.,检查你的拼写和语法。
en:grandchild:noun:1,grandchild,noun,孙子；孙女；外孙；外孙女,n 孙子；孙女；外孙；外孙女,/'ɡræntʃaɪld/,/'græn(d)tʃaɪld/,Mary loves her grandchildren.,玛丽很疼爱她的孙子孙女们。
en:granddaughter:noun:1,granddaughter,noun,孙女；外孙女,n 孙女；外孙女,/'ɡrændɔtɚ/,/'grændɔːtə/,...a drawing of my granddaughter Amelia.,…一幅我孙女阿梅莉亚的画像。
en:grandparent:noun:1,grandparent,noun,祖父母；祖父或祖母；外祖父母；外祖父或外祖母,n 祖父母；祖父或祖母；外祖父母；外祖父或外祖母,/'græn'pɛrənt/,/'græn(d)peər(ə)nt/,My grandparents live in Sussex.,我的祖父母住在萨塞克斯郡。
en:grandson:noun:1,grandson,noun,孙子；外孙,n 孙子；外孙,/'ɡrænsʌn/,/'græn(d)sʌn/,My grandson's birthday was on Tuesday.,我孙子的生日是星期二。
en:granny:noun:1,granny,noun,奶奶；外婆；婆婆妈妈的人,n 奶奶；外婆；婆婆妈妈的人,/'ɡræni/,/'grænɪ/,...my old granny.,…我的老奶奶。
en:grape:noun:1,grape,noun,葡萄；葡萄酒；葡萄树；葡萄色,n 葡萄；葡萄酒；葡萄树；葡萄色,/ɡrep/,/greɪp/,a bunch of grapes,一串葡萄
en:grass:noun:1,grass,noun,草；草地，草坪,n 草；草地，草坪；v 放牧；使……长满草；使……吃草,/ɡræs/,/grɑːs/,I walked across the grass.,我走在草地上。
en:great:adjective:1,great,adjective,伟大的，重大的；极好的，好的；主要的,adj 伟大的，重大的；极好的，好的；主要的；n 大师；大人物；伟人们,/ɡret/,/greɪt/,The movie was a great success.,这部影片大获成功。
en:green:adjective:1,green,adjective,绿色的；青春的,adj 绿色的；青春的；n 绿色；青春；v 使…变绿色,/ɡrin/,/griːn/,beautiful green eyes,漂亮的碧眼
en:greeting:noun:1,greeting,noun,问候，招呼；祝贺,n 问候，招呼；祝贺；v 致敬，欢迎（greet的现在分词）,/'ɡritɪŋ/,/'griːtɪŋ/,"I smiled a polite greeting, but the woman hardly acknowledged me.",我客气地笑着打了个招呼，可是那女人没有答理我。
en:ground:noun:1,ground,noun,地面；土地；范围；战场;根据,n 地面；土地；范围；战场;根据；v 使接触地面；打基础；使搁浅；adj 土地的；地面上的；磨碎的；磨过的,/ɡraʊnd/,/graʊnd/,There are strong grounds for believing his statement.,有充分的理由可以相信他的话。
en:group:noun:1,group,noun,组；团体,n 组；团体；adj 群的；团体的；v 聚合,/ɡrup/,/gruːp/,A group of us are going to London.,我们有一群人要去伦敦。
en:guard:noun:1,guard,noun,守卫；警戒；护卫队；防护装置,n 守卫；警戒；护卫队；防护装置；v 警惕,/ɡɑrd/,/gɑːd/,The prisoners overpowered their guards and locked them in a cell.,囚犯们制服了卫兵，并把他们锁在一个牢房里。
en:guess:verb:1,guess,verb,猜测；认为；推测；猜中,v 猜测；认为；推测；猜中；n 猜测；推测,/ɡɛs/,/ges/,"I’d say he’s around 50, but I’m only guessing.",我想他50岁左右，不过也只是猜测。
en:guest:noun:1,guest,noun,客人，宾客；顾客,n 客人，宾客；顾客；v 款待，招待；adj 客人的；特邀的，客座的,/ɡɛst/,/gest/,a banquet for 250 distinguished guests,250位贵宾出席的宴会
en:gun:noun:1,gun,noun,枪支；枪状物；持枪歹徒,n 枪支；枪状物；持枪歹徒；v 用枪射击；加大油门快速前进,/ɡʌn/,/gʌn/,I’ve never fired a gun in my life.,我这辈子从来没开过枪。
en:gym:noun:1,gym,noun,健身房；体育；体育馆,n 健身房；体育；体育馆,/dʒɪm/,/dʒɪm/,I go to the gym as often as I can.,我一有空就去健身房健身。
en:hair:noun:1,hair,noun,头发；毛发；些微,n 头发；毛发；些微；vt 除去…的毛发；vi 生长毛发；形成毛状纤维；adj 毛发的；护理毛发的；用毛发制成的,/hɛr/,/heə/,Her hair was short and dark.,她的头发又短又黑。
en:half:noun:1,half,noun,一半；半场；半学年,n 一半；半场；半学年；adv 一半地；部分地；adj 一半的；不完全的；半途的,/hæf/,/hɑːf/,Only half the guests had arrived by seven o’clock.,7点钟前只来了一半客人。
en:hall:noun:1,hall,noun,过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所,n 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所,/hɔl/,/hɔːl/,a huge tiled entrance hall,铺着地砖的大门厅
en:ham:noun:1,ham,noun,火腿；业余无线电爱好者；蹩脚演员,n 火腿；业余无线电爱好者；蹩脚演员；v 表演过火；adj 过火的；做作的,/hæm/,/hæm/,a ham sandwich,火腿三明治
en:hamburger:noun:1,hamburger,noun,汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉,n 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉,/hæmbɝ​ɡɚ/,/ˈhæmbɜ:gə/,,
en:hand:noun:1,hand,noun,手，手艺；帮助；指针；插手,n 手，手艺；帮助；指针；插手；v 传递，交给；支持；搀扶,/hænd/,/hænd/,Steve gripped the steering wheel tightly with both hands.,史蒂夫双手紧握方向盘。
en:handbag:noun:1,handbag,noun,手提包,n 手提包,/'hænd'bæg/,/'hæn(d)bæg/,I have sent Tom back for your handbag.,我已经让汤姆回去取你的手提袋了。
en:handsome:adjective:1,handsome,adjective,（男子）英俊的；可观的；大方的，慷慨的；健美而端庄的,adj （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的,/'hænsəm/,/'hæns(ə)m/,He managed to make a handsome profit out of the deal.,他从这笔买卖中赚取了丰厚的利润。
en:happen:verb:1,happen,verb,发生；碰巧；偶然遇到,v 发生；碰巧；偶然遇到,/'hæpən/,/'hæp(ə)n/,When did the accident happen?,事故什么时候发生的？
en:happy:adjective:1,happy,adjective,幸福的；高兴的；巧妙的,adj 幸福的；高兴的；巧妙的；n (Happy)人名；(英、瑞典、喀)哈皮,/'hæpɪ/,/'hæpɪ/,It’s a lovely house and we’ve been very happy here.,房子很漂亮，我们住在这里非常开心。
en:hard:adjective:1,hard,adjective,努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的,adj 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的；adv 努力地；困难地；辛苦地；接近地；猛烈地；牢固地；n (Hard)人名；(英、芬、瑞典)哈德,/hɑrd/,/hɑːd/,a hard wooden chair,一把硬木椅
en:hardly:adverb:1,hardly,adverb,几乎不，简直不；刚刚,adv 几乎不，简直不；刚刚,/'hɑrdli/,/'hɑːdlɪ/,"My parents divorced when I was six, and I hardly knew my father.",我六岁时父母离婚，我对父亲几乎一无所知。
en:hat:noun:1,hat,noun,帽子,n 帽子；v 给……戴上帽子,/hæt/,/hæt/,Maria was wearing a beautiful new hat.,玛丽亚戴着一顶漂亮的新帽子。
en:hate:verb:1,hate,verb,憎恨；厌恶；遗憾,v 憎恨；厌恶；遗憾；n 憎恨；反感,/het/,/heɪt/,Why do you hate me so much?,你为什么那么恨我？
en:he:noun:1,he,noun,男孩，男人；它（雄性动物）,n 男孩，男人；它（雄性动物）；pron 他,/hi/,/hiː/,‘Where’s Paul?’ ‘He’s gone to the cinema.’,“保罗在哪儿？”“他去看电影了。”
en:head:noun:1,head,noun,头；头痛；上端；最前的部分；理解力,n 头；头痛；上端；最前的部分；理解力；v 前进；用头顶；作为…的首领；站在…的前头；给…加标题；adj 头的；主要的；在顶端的,/hɛd/,/hed/,He kissed the top of her head.,他吻了一下她的头顶。
en:health:noun:1,health,noun,健康；卫生；保健；兴旺,n 健康；卫生；保健；兴旺,/hɛlθ/,/helθ/,I’m worried about my husband’s health.,我担心我丈夫的健康状况。
en:healthy:adjective:1,healthy,adjective,健康的，健全的；有益于健康的,adj 健康的，健全的；有益于健康的,/'hɛlθi/,/'helθɪ/,a healthy baby boy,健康的男婴
en:heart:noun:1,heart,noun,心脏；感情；勇气；心形；要点,n 心脏；感情；勇气；心形；要点；vt 鼓励；铭记；vi 结心,/hɑrt/,/hɑːt/,Regular exercise is good for the heart.,经常锻炼对心脏有好处。
en:heat:noun:1,heat,noun,高温；压力；热度；热烈,n 高温；压力；热度；热烈；v 使激动；把…加热,/hit/,/hiːt/,Ice needs heat to melt.,冰需要热才能融化。
en:heaven:noun:1,heaven,noun,天堂；天空；极乐,n 天堂；天空；极乐,/'hɛvn/,/'hev(ə)n/,He looked up towards the heavens.,他仰望苍穹。
en:heavy:adjective:1,heavy,adjective,沉重的；繁重的，巨大的；拥挤的；阴沉的,adj 沉重的；繁重的，巨大的；拥挤的；阴沉的；n 重物；严肃角色；adv 大量地；笨重地,/'hɛvi/,/'hevɪ/,The wardrobe was too heavy for me to move on my own.,衣橱太重，我一个人移不动。
en:height:noun:1,height,noun,高地；高度；身高；顶点,n 高地；高度；身高；顶点,/haɪt/,/haɪt/,Sam’s about the same height as his sister now.,萨姆现在身高和他姐姐差不多了。
en:help:verb:1,help,verb,帮助；促进；治疗；补救,v 帮助；促进；治疗；补救；n 帮助；补救办法；帮忙者；有益的东西,/hɛlp/,/help/,"If there’s anything I can do to help, just give me a call.",如果需要我帮忙，就给我打个电话。
en:helpful:adjective:1,helpful,adjective,有帮助的；有益的,adj 有帮助的；有益的,/'hɛlpfl/,/'helpfʊl; -f(ə)l/,Thank you for your advice; it’s been very helpful.,谢谢你的建议，它非常有用。
en:hen:noun:1,hen,noun,母鸡；女人；雌禽,n 母鸡；女人；雌禽,/hɛn/,/hen/,The hen sits in the hencoop [henroost].,母鸡卧窝。
en:her:pronoun:1,her,pronoun,她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）,pron 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）；n （法）埃尔（人名）,/hɚ/,/hɜː/,Jane? I don’t really know her.,简？我不太认识她。
en:hers:pronoun:1,hers,pronoun,她的（所有格）,pron 她的（所有格）；n (Hers)人名；(法)埃尔,/hɝz/,/hɜːz/,He bent and touched his mouth to hers.,他俯身吻她的嘴唇。
en:here:adverb:1,here,adverb,在这里；此时,adv 在这里；此时；int 嘿！；喂！；n 这里,/hɪr/,/hɪə/,What are you doing here?,你们在这里干什么？
en:herself:pronoun:1,herself,pronoun,她自己（she的反身代词）；她亲自,pron 她自己（she的反身代词）；她亲自,/hɝ'sɛlf/,/hɜː'self/,She cut herself on some broken glass.,碎玻璃把她割伤了。
en:high:adjective:1,high,adjective,高的；高级的；崇高的；高音调的,adj 高的；高级的；崇高的；高音调的；n 高水平；天空；由麻醉品引起的快感；高压地带；adv 高；奢侈地,/haɪ/,/haɪ/,This is the highest mountain in Japan.,这是日本最高的山。
en:hill:noun:1,hill,noun,小山；丘陵；斜坡；山冈,n 小山；丘陵；斜坡；山冈,/hɪl/,/hɪl/,Their house is on a hill overlooking the sea.,他们的房子建在可以俯视大海的小山上。
en:him:pronoun:1,him,pronoun,他（宾格）,pron 他（宾格）；n (Him)人名；(东南亚国家华语)欣；(柬)亨；(中)谦(广东话·威妥玛),/hɪm/,/hɪm/,Are you in love with him?,你爱上他了吗？
en:himself:pronoun:1,himself,pronoun,他自己；他亲自，他本人,pron 他自己；他亲自，他本人,/hɪm'sɛlf/,/hɪm'self/,by himself,由他独力地
en:his:pronoun:1,his,pronoun,他的,pron 他的；n (His)人名；(法)伊斯,/hɪz/,/hɪz/,That should be his mother.,那大概是他的母亲。
en:history:noun:1,history,noun,历史，历史学；历史记录；来历,n 历史，历史学；历史记录；来历,/ˈhɪstəri; ˈhɪstri/,/'hɪst(ə)rɪ/,Throughout history the achievements of women have been largely ignored.,从古至今，妇女的成就都被大大地忽视了。
en:hobby:noun:1,hobby,noun,嗜好；业余爱好,n 嗜好；业余爱好,/'hɑbi/,/'hɒbɪ/,What are your hobbies?,你有些什么爱好？
en:holiday:noun:1,holiday,noun,假日；节日；休息日,n 假日；节日；休息日；v 外出度假,/'hɑləde/,/'hɒlɪdeɪ; -dɪ/,The school holidays start tomorrow.,学校假期从明天开始。
en:home:noun:1,home,noun,家，住宅；产地；家乡；避难所,n 家，住宅；产地；家乡；避难所；adv 在家，回家；深入地；adj 国内的，家庭的；有效的；v 归巢，回家,/hom/,/həʊm/,They have a beautiful home in California.,他们在加州有个美丽的家。
en:hometown:noun:1,hometown,noun,家乡；故乡,n 家乡；故乡,/'homtaʊn/,/'həʊm'taʊn/,Do you like your hometown?,你喜欢你的家乡吗？
en:homework:noun:1,homework,noun,家庭作业，课外作业,n 家庭作业，课外作业,/'hom'wɝk/,/'həʊmwɜːk/,"For homework, finish the exercise on page 14.",家庭作业是完成第14页的练习。
en:honest:adjective:1,honest,adjective,诚实的，实在的；可靠的；坦率的,adj 诚实的，实在的；可靠的；坦率的,/'ɑnɪst/,/'ɒnɪst/,"He was a hard-working, honest man.",他勤奋老实。
en:hope:noun:1,hope,noun,希望；期望；信心,n 希望；期望；信心；v 希望；期望,/hop/,/həʊp/,"When I first arrived in New York, I was full of hope for the future.",我初到纽约时，对未来充满希望。
en:horse:noun:1,horse,noun,马；骑兵；脚架；海洛因,n 马；骑兵；脚架；海洛因；v 使骑马；系马于；捉弄,/hɔrs/,/hɔːs/,a horse and cart,一辆马车
en:hospital:noun:1,hospital,noun,医院,n 医院,/'hɑspɪtl/,/'hɒspɪt(ə)l/,They are building a new hospital.,他们正在建一家新医院。
en:hot:adjective:1,hot,adjective,热的；辣的；热情的；激动的；紧迫的,adj 热的；辣的；热情的；激动的；紧迫的；adv 热；紧迫地；v 变热；n (Hot)人名；(塞)霍特；(法)奥特,/hɑt/,/hɒt/,a hot curry,一种辛辣的咖喱
en:hotel:noun:1,hotel,noun,旅馆，饭店；客栈,n 旅馆，饭店；客栈；vt 使…在饭店下榻；vi 进行旅馆式办公,/ho'tɛl/,/həʊ'tel; əʊ-/,I’ve booked the flights and the hotel.,我已订好机票和酒店。
en:hour:noun:1,hour,noun,小时；钟头；课时；…点钟,n 小时；钟头；课时；…点钟,/'aʊɚ/,/'aʊə/,The interview will last about two hours.,面试大概要持续两小时。
en:house:noun:1,house,noun,住宅；家庭；机构；议会；某种用途的建筑物,n 住宅；家庭；机构；议会；某种用途的建筑物；v 覆盖；给…房子住；把…储藏在房内,/haʊs/,/haʊs/,The president will address both houses of Congress.,总统将向参众两院发表讲话。
en:housework:noun:1,housework,noun,家务事,n 家务事,/'haʊs'wɝk/,/'haʊswɜːk/,Men are doing more housework nowadays.,现今男人正在承担越来越多的家务。
en:how:adverb:1,how,adverb,如何；多少；多么,adv 如何；多少；多么；n 方法；方式；conj 如何,/haʊ/,/haʊ/,How do you spell your name?,你的名字怎么拼写？
en:however:adverb:1,however,adverb,无论如何；不管怎样（接副词或形容词）；然而；可是,adv 无论如何；不管怎样（接副词或形容词）；然而；可是；conj 无论以何种方式; 不管怎样,/haʊ'ɛvɚ/,/haʊ'evə/,"This is a cheap and simple process. However, there are dangers.",这是个花钱少而又简单的方法，不过有危险。
en:huge:adjective:1,huge,adjective,巨大的；庞大的；无限的,adj 巨大的；庞大的；无限的；n (Huge)人名；(英)休奇,/hjudʒ/,/hjuːdʒ/,a huge dog,一条大狗
en:human:adjective:1,human,adjective,人的；人类的,adj 人的；人类的；n 人；人类,/'hjumən/,/'hjuːmən/,There are many different cell types in the human body .,人体中有许多种不同的细胞类型。
en:hundred:noun:1,hundred,noun,一百；许多,n 一百；许多；adj 一百的；许多的；num 百；百个,/'hʌndrəd/,/'hʌndrəd/,Plank down your one hundred dollars.,立即支付一百美元。
en:hungry:adjective:1,hungry,adjective,饥饿的；渴望的；荒年的；不毛的,adj 饥饿的；渴望的；荒年的；不毛的,/'hʌŋɡri/,/'hʌŋgrɪ/,"I was cold, tired, and hungry.",我又冷，又累，又饿。
en:hurry:noun:1,hurry,noun,匆忙，急忙,n 匆忙，急忙；v 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理,/'hɝrɪ/,/'hʌrɪ/,"Sorry, I can’t stop, I’m in a hurry.",对不起，我不能停下，我赶时间。
en:husband:verb:1,husband,verb,节约地使用（或管理）,v 节约地使用（或管理）；n 丈夫,/'hʌzbənd/,/'hʌzbənd/,Have you met my husband Roy?,你见过我的丈夫罗伊吗？
en:i:pronoun:1,I,pronoun,我,pron 我；n 碘元素；英语字母I,,/aɪ/,I moved to this city six years ago.,六年前我搬到了这个城市。
en:ice:noun:1,ice,noun,冰；冰淇淋；矜持；（俚）钻石,n 冰；冰淇淋；矜持；（俚）钻石；v 冰镇；结冰；adj 冰的,/aɪs/,/aɪs/,Would you like some ice in your drink?,你饮料中要放点冰块吗？
en:idea:noun:1,idea,noun,想法；主意；概念,n 想法；主意；概念,/aɪ'diə/,/aɪ'dɪə/,You should talk to Ken – he's always full of good ideas.,你应该和肯谈谈，他总是满脑子好主意。
en:if:conjunction:1,if,conjunction,（表条件）如果；即使；是否；（表假设）假如,conj （表条件）如果；即使；是否；（表假设）假如；n 条件；设想,/ɪf/,/ɪf/,We’ll stay at home if it rains.,如果下雨，我们就待在家里。
en:ill:adjective:1,ill,adjective,生病的；坏的；邪恶的；不吉利的,adj 生病的；坏的；邪恶的；不吉利的；adv 不利地；恶劣地；几乎不；n 疾病；不幸,/ɪl/,/ɪl/,Bridget can’t come – she’s ill.,布里奇特不能来了，她生病了。
en:illness:noun:1,illness,noun,病；疾病,n 病；疾病,/'ɪlnəs/,/ˈɪlnəs/,She had all the normal childhood illnesses.,儿童的常见病她小时候都得过。
en:imagine:verb:1,imagine,verb,想像；猜想；臆断,v 想像；猜想；臆断,/ɪ'mædʒɪn/,/ɪ'mædʒɪn/,Perhaps she’d never really been there at all – perhaps she’d just imagined it.,可能她从未到过那儿——也许这都是她的幻想。
en:immediately:adverb:1,immediately,adverb,立即，立刻；直接地,adv 立即，立刻；直接地；conj 一…就,/ɪ'midɪətli/,/ɪ'miːdɪətlɪ/,Mix in the remaining ingredients and serve immediately.,拌入余下的食材，立即上桌。
en:important:adjective:1,important,adjective,重要的，重大的；有地位的；有权力的,adj 重要的，重大的；有地位的；有权力的,/ɪm'pɔrtnt/,/ɪm'pɔːt(ə)nt/,a very important meeting,很重要的会议
en:improve:verb:1,improve,verb,改善，增进；提高…的价值,v 改善，增进；提高…的价值,/ɪm'pruv/,/ɪm'pruːv/,a course for students wishing to improve their English,为想提高英语水平的学生开设的一门课
en:in:preposition:1,in,preposition,按照（表示方式）；从事于；在…之内,prep 按照（表示方式）；从事于；在…之内；adv 进入；当选；（服装等）时髦；在屋里；adj 在里面的；时髦的；n 执政者；门路；知情者,/ɪn/,/ɪn/,There’s some sugar in the cupboard.,碗橱里有一些糖。
en:inch:noun:1,inch,noun,英寸；身高；少许,n 英寸；身高；少许；v 使缓慢地移动,/ɪntʃ/,/ɪn(t)ʃ/,The curtains were an inch too short.,窗帘短了一英寸。
en:include:verb:1,include,verb,包含，包括,v 包含，包括,/ɪn'klud/,/ɪn'kluːd/,Does the price include postage?,这个价格包含邮费吗？
en:increase:noun:1,increase,noun,增加，增长；提高,n 增加，增长；提高；v 增加，增大；繁殖,/'ɪnkris/,/ɪn'kriːs/,Recent tax increases have affected the poor more than the rich.,新近的增税对穷人的影响比对富人的大。
en:india:noun:1,India,noun,印度（南亚国家）,n 印度（南亚国家）,/'ɪndɪə/,/'ɪndɪə/,Burma borders on India.,缅甸与印度毗邻。
en:indian:adjective:1,Indian,adjective,印度的；印第安人的；印第安语的,adj 印度的；印第安人的；印第安语的；n 印度人；印第安人；印第安语,/'ɪndɪən/,/'ɪndɪən/,...the Indian government.,...印度政府。
en:industry:noun:1,industry,noun,产业；工业；勤勉,n 产业；工业；勤勉,/'ɪndəstri/,/'ɪndəstrɪ/,I work in the oil industry.,我在石油行业工作。
en:influence:noun:1,influence,noun,影响；势力；感化；有影响的人或事,n 影响；势力；感化；有影响的人或事；v 影响；改变,/'ɪnfluəns/,/'ɪnflʊəns/,"As a scientist, his influence was immense.",身为一名科学家，他的影响力极大。
en:information:noun:1,information,noun,信息，资料；知识；情报；通知,n 信息，资料；知识；情报；通知,/'ɪnfɚ'meʃən/,/ɪnfə'meɪʃ(ə)n/,I need more information.,我需要更多信息。
en:ink:verb:1,ink,verb,签署；涂墨水于,v 签署；涂墨水于；n 墨水，墨汁；油墨,/ɪŋk/,/ɪŋk/,The two companies have inked a deal.,这两家公司签署了一项协议。
en:inside:noun:1,inside,noun,里面；内部；内情；内脏,n 里面；内部；内情；内脏；adj 里面的；内部的；秘密的；adv 在里面；prep 少于；在…之内,/'ɪn'saɪd/,/ɪn'saɪd/,The door had been locked from the inside.,门从里面锁上了。
en:insist:verb:1,insist,verb,坚持，强调,v 坚持，强调,/ɪn'sɪst/,/ɪn'sɪst/,Stay for supper – I insist!,留下来吃晚餐——一定的！
en:instead:adverb:1,instead,adverb,代替；反而；相反,adv 代替；反而；相反,/ɪn'stɛd/,/ɪn'sted/,You probably picked up my keys instead of yours.,你可能没拿你的钥匙而错拿了我的。
en:instruction:noun:1,instruction,noun,指令，命令；指示；教导；用法说明,n 指令，命令；指示；教导；用法说明,/ɪn'strʌkʃən/,/ɪn'strʌkʃ(ə)n/,Press ‘Enter’ and follow the on-screen instructions.,按回车键，然后按照电脑屏幕上的指示来操作。
en:intention:noun:1,intention,noun,意图；目的；意向；愈合,n 意图；目的；意向；愈合,/ɪn'tɛnʃən/,/ɪn'tenʃ(ə)n/,They went into town with the intention of visiting the library.,他们进了城，打算参观图书馆。
en:interest:noun:1,interest,noun,兴趣，爱好；利息；趣味；同行,n 兴趣，爱好；利息；趣味；同行；v 使……感兴趣；引起……的关心；使……参与,/'ɪntrəst/,/'ɪnt(ə)rɪst/,"I watched the first few episodes, but soon lost interest.",我看了前几集，但很快就失去了兴趣。
en:interesting:adjective:1,interesting,adjective,有趣的；引起兴趣的，令人关注的,adj 有趣的；引起兴趣的，令人关注的,/'ɪntrəstɪŋ/,/'ɪnt(ə)rɪstɪŋ/,That’s an interesting question.,那是一个有趣的问题。
en:international:noun:1,international,noun,国际组织；国际体育比赛；外国居留者；国际股票,n 国际组织；国际体育比赛；外国居留者；国际股票；adj 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的,"/,ɪntɚ'næʃnəl/",/ɪntə'næʃ(ə)n(ə)l/,the response of the international community,国际社会的反响
en:internet:noun:1,Internet,noun,因特网,n 因特网,/'ɪntɚnɛt/,/'ɪntənet/,Do you have access to the Internet?,你上得了网吗？
en:interview:noun:1,interview,noun,接见，采访；面试，面谈,n 接见，采访；面试，面谈；v 采访；接见；对…进行面谈；对某人进行面试,/'ɪntɚvju/,/'ɪntəvjuː/,a portfolio of work presented at interview,在面试时呈递的工作成果样本
en:into:preposition:1,into,preposition,到…里；深入…之中；成为…状况；进入到…之内,prep 到…里；深入…之中；成为…状况；进入到…之内；n (Into)人名；(芬、英)因托,/ˈɪntu/,/'ɪntʊ; 'ɪntə/,Come into the office.,到办公室里来。
en:introduce:verb:1,introduce,verb,介绍；引进；提出；采用,v 介绍；引进；提出；采用,/ˌɪntrə'dus/,/ɪntrə'djuːs/,"Have you two been introduced? Tom, this is Greg.",有人给你们俩互相介绍了吗？汤姆，这位是格雷格。
en:introduction:noun:1,introduction,noun,介绍；引进；采用；入门；传入,n 介绍；引进；采用；入门；传入,"/,ɪntrə'dʌkʃən/","/,ɪntrə'dʌkʃ(ə)n/","The book is a friendly, down-to-earth introduction to physics.",这是一本简明、实用的物理学入门书。
en:invent:verb:1,invent,verb,发明；创造；虚构,v 发明；创造；虚构,/ɪn'vɛnt/,/ɪn'vent/,Alexander Graham Bell invented the telephone in 1876.,亚历山大 · 格雷厄姆 · 贝尔于1876年发明了电话。
en:invention:noun:1,invention,noun,发明；发明物；虚构；发明才能,n 发明；发明物；虚构；发明才能,/ɪn'vɛnʃən/,/ɪn'venʃ(ə)n/,The dishwasher is a wonderful invention.,洗碗机是一项奇妙的发明。
en:invite:verb:1,invite,verb,邀请，招待；招致,v 邀请，招待；招致；n 邀请,/ɪn'vaɪt/,/ɪn'vaɪt/,I’m afraid I wasn’t invited.,恐怕我没有受到邀请。
en:iron:noun:1,iron,noun,熨斗；烙铁；坚强,n 熨斗；烙铁；坚强；v 熨；用铁铸成；adj 铁的；残酷的；刚强的,/'aɪɚn/,/'aɪən/,the iron and steel industry,钢铁工业
en:island:noun:1,island,noun,岛；岛屿；安全岛；岛状物,n 岛；岛屿；安全岛；岛状物；adj 岛的；vt 孤立；使成岛状,/'aɪlənd/,/'aɪlənd/,The Cayman Islands,开曼群岛
en:it:pronoun:1,it,pronoun,[指无生命的东西、动物、植物]它；这；那,pron [指无生命的东西、动物、植物]它；这；那；abbr 信息技术information technology,/aɪ ti/,/aɪ ti/,‘Where’s your office?’ ‘It’s on the third floor.’,“你的办公室在哪儿？”“在三楼。”
en:its:pronoun:1,its,pronoun,它的,pron 它的；n (Its)人名；(俄)伊茨,/ɪts/,/ɪts/,He emphasized its importance to me.,他向我强调它的重要性。
en:itself:pronoun:1,itself,pronoun,它自己；它本身,pron 它自己；它本身,/ɪt'sɛlf/,/ɪt'self/,"The cat lay on the sofa, washing itself.",猫躺在沙发上把自己舔干。
en:jacket:noun:1,jacket,noun,羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹,n 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹；v 给…穿夹克；给…装护套；给…包上护封；〈口〉打,/'dʒækɪt/,/'dʒækɪt/,Gene has to wear a jacket and tie to work.,吉恩上班得穿西装打领带。
en:january:noun:1,January,noun,一月,n 一月,/'dʒænjʊ'ɛri/,/'dʒænjʊ(ə)rɪ/,We always have snow in January.,我们这里1月份总会下雪。
en:japan:noun:1,Japan,noun,日本（东亚国家名）,n 日本（东亚国家名）,/dʒə'pæn/,/dʒə'pæn/,made in japan,日本制造
en:japanese:adjective:1,Japanese,adjective,日本（人）的；日语的,adj 日本（人）的；日语的；n 日本人；日语,"/,dʒæpə'niz/",/ˌdʒæpə'ni:z/,a Japanese car,日本(汽)车
en:jeans:noun:1,jeans,noun,牛仔裤；工装裤,n 牛仔裤；工装裤,,,...a young man in jeans and a worn T-shirt.,…一个穿着牛仔裤和破旧T恤衫的年轻人。
en:job:noun:1,job,noun,工作；职业,n 工作；职业；v 承包；代客买卖,,/dʒɒb/,Do you enjoy your job?,你喜欢自己的工作吗？
en:join:verb:1,join,verb,参加；结合；连接,v 参加；结合；连接；n 结合；连接；接合点,/dʒɔɪn/,/dʒɒɪn/,Many sacrificed their weekend to join the hunt for the missing girl.,许多人牺牲周末时间，加入了寻找失踪女孩的行动。
en:joke:noun:1,joke,noun,玩笑，笑话；笑柄,n 玩笑，笑话；笑柄；v 开…的玩笑,/dʒok/,/dʒəʊk/,"I couldn’t go out with someone for a joke, could you?",我可不能拿谈恋爱当儿戏，对不对？
en:joy:noun:1,joy,noun,欢乐，快乐；乐趣；高兴,n 欢乐，快乐；乐趣；高兴；v 欣喜，欢喜,/dʒɔɪ/,/dʒɒɪ/,The garden was his pride and joy.,这座花园是他的骄傲和乐趣所在。
en:juice:noun:1,juice,noun,（水果）汁，液；果汁,n （水果）汁，液；果汁,/dʒus/,/dʒuːs/,a carton of orange juice,一纸盒橙汁
